#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
14459.67;0;402;0;2;0/14459.67;0/3908.9,1/643.29;0/0;0/14459.67,1/14459.67;0/0;0/17,1/14;0/0;0/20,1/20;0/0;0/0,1/0;0/0;0/175,1/227;0/0;0/1076,1/1411
14519.89;0;412;0;2;0/14519.89;0/3918.4,1/644.88;0/0;0/14519.89,1/14519.89;0/0;0/16,1/16;0/0;0/18,1/21;0/0;0/0,1/0;0/0;0/179,1/233;0/0;0/1082,1/1417
14579.71;0;415;0;2;0/14579.71;0/3919.58,1/645.72;0/0;0/14579.71,1/14579.71;0/0;0/16,1/13;0/0;0/21,1/18;0/0;0/0,1/0;0/0;0/179,1/236;0/0;0/1088,1/1423
14639.85;0;416;0;2;0/14639.85;0/3921.55,1/648.04;0/0;0/14639.85,1/14639.85;0/0;0/22,1/18;0/0;0/27,1/25;0/0;0/0,1/0;0/0;0/180,1/236;0/0;0/1093,1/1428
14699.85;0;416;0;2;0/14699.85;0/3924.68,1/649.62;0/0;0/14699.85,1/14699.85;0/0;0/22,1/12;0/0;0/27,1/19;0/0;0/0,1/0;0/0;0/180,1/236;0/0;0/1099,1/1434
14759.9;0;417;0;2;0/14759.9;0/3926.48,1/651.09;0/0;0/14759.9,1/14759.9;0/0;0/21,1/17;0/0;0/27,1/23;0/0;0/0,1/0;0/0;0/180,1/237;0/0;0/1105,1/1440
14819.9;0;417;0;2;0/14819.9;0/3926.79,1/652.96;0/0;0/14819.9,1/14819.9;0/0;0/15,1/17;0/0;0/21,1/23;0/0;0/0,1/0;0/0;0/180,1/237;0/0;0/1111,1/1446
14879.69;0;417;0;2;0/14879.69;0/3927.93,1/654.41;0/0;0/14879.69,1/14879.69;0/0;0/17,1/10;0/0;0/22,1/17;0/0;0/0,1/0;0/0;0/180,1/237;0/0;0/1117,1/1452
14939.86;0;420;0;2;0/14939.86;0/3930.09,1/656.25;0/0;0/14939.86,1/14939.86;0/0;0/15,1/15;0/0;0/19,1/23;0/0;0/0,1/0;0/0;0/182,1/238;0/0;0/1123,1/1458
14999.97;0;422;0;2;0/14999.97;0/3931.44,1/657.4;0/0;0/14999.97,1/14999.97;0/0;0/13,1/7;0/0;0/15,1/17;0/0;0/0,1/0;0/0;0/184,1/238;0/0;0/1129,1/1464
