#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3359.69;0;180;0;2;0/3359.69;0/1636.23,1/1656.51;0/0;0/3359.69,1/3359.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3419.69;0;180;0;2;0/3419.69;0/1696.23,1/1716.51;0/0;0/3419.69,1/3419.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3479.69;0;180;0;2;0/3479.69;0/1756.23,1/1776.51;0/0;0/3479.69,1/3479.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3539.69;0;180;0;2;0/3539.69;0/1816.23,1/1836.51;0/0;0/3539.69,1/3539.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3599.69;0;180;0;2;0/3599.69;0/1876.23,1/1896.51;0/0;0/3599.69,1/3599.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3659.69;0;180;0;2;0/3659.69;0/1936.23,1/1956.51;0/0;0/3659.69,1/3659.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3719.69;0;180;0;2;0/3719.69;0/1996.23,1/2016.51;0/0;0/3719.69,1/3719.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3779.69;0;180;0;2;0/3779.69;0/2056.23,1/2076.51;0/0;0/3779.69,1/3779.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3839.69;0;180;0;2;0/3839.69;0/2116.23,1/2136.51;0/0;0/3839.69,1/3839.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3899.69;0;180;0;2;0/3899.69;0/2176.23,1/2196.51;0/0;0/3899.69,1/3899.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
