#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
2159.8;0;391;0;3;0/2159.8;0/231.45,1/431.99,2/153.23;0/0;0/2159.8,1/2159.8,2/2159.8;0/0;0/13,1/19,2/21;0/0;0/17,1/24,2/29;0/0;0/0,1/0,2/0;0/0;0/137,1/118,2/136;0/0;0/196,1/175,2/204
2219.94;0;400;0;3;0/2219.94;0/232.87,1/433.1,2/153.94;0/0;0/2219.94,1/2219.94,2/2219.94;0/0;0/13,1/14,2/19;0/0;0/17,1/18,2/27;0/0;0/0,1/0,2/0;0/0;0/140,1/121,2/139;0/0;0/202,1/181,2/210
2279.75;0;412;0;3;0/2279.75;0/234.05,1/433.74,2/154.98;0/0;0/2279.75,1/2279.75,2/2279.75;0/0;0/12,1/15,2/16;0/0;0/16,1/19,2/24;0/0;0/0,1/0,2/0;0/0;0/144,1/125,2/143;0/0;0/208,1/187,2/216
2339.97;0;422;0;3;0/2339.97;0/236.95,1/434.16,2/155.64;0/0;0/2339.97,1/2339.97,2/2339.97;0/0;0/23,1/13,2/9;0/0;0/26,1/16,2/18;0/0;0/0,1/0,2/0;0/0;0/148,1/128,2/146;0/0;0/213,1/193,2/222
2399.98;0;436;0;3;0/2399.98;0/247.36,1/435.21,2/156.98;0/0;0/2399.98,1/2399.98,2/2399.98;0/0;0/18,1/16,2/18;0/0;0/24,1/20,2/25;0/0;0/0,1/0,2/0;0/0;0/152,1/132,2/152;0/0;0/218,1/199,2/228
2459.74;0;451;0;3;0/2459.74;0/252.41,1/444.14,2/157.94;0/0;0/2459.74,1/2459.74,2/2459.74;0/0;0/12,1/21,2/17;0/0;0/18,1/24,2/25;0/0;0/0,1/0,2/0;0/0;0/157,1/136,2/158;0/0;0/224,1/204,2/234
2519.88;0;463;0;3;0/2519.88;0/254.05,1/445.9,2/158.75;0/0;0/2519.88,1/2519.88,2/2519.88;0/0;0/14,1/20,2/18;0/0;0/18,1/25,2/26;0/0;0/0,1/0,2/0;0/0;0/162,1/140,2/161;0/0;0/230,1/210,2/240
2579.96;0;477;0;3;0/2579.96;0/255.26,1/447.19,2/159.55;0/0;0/2579.96,1/2579.96,2/2579.96;0/0;0/17,1/17,2/19;0/0;0/20,1/22,2/28;0/0;0/0,1/0,2/0;0/0;0/166,1/145,2/166;0/0;0/236,1/216,2/246
2639.89;0;484;0;3;0/2639.89;0/260.46,1/447.97,2/160.68;0/0;0/2639.89,1/2639.89,2/2639.89;0/0;0/24,1/15,2/15;0/0;0/25,1/18,2/28;0/0;0/0,1/0,2/0;0/0;0/168,1/148,2/168;0/0;0/241,1/222,2/252
2699.87;0;495;0;3;0/2699.87;0/289.98,1/449.86,2/161.54;0/0;0/2699.87,1/2699.87,2/2699.87;0/0;0/22,1/19,2/12;0/0;0/25,1/21,2/22;0/0;0/0,1/0,2/0;0/0;0/171,1/151,2/173;0/0;0/245,1/228,2/258
2759.99;0;507;0;3;0/2759.99;0/291.78,1/454,2/162.84;0/0;0/2759.99,1/2759.99,2/2759.99;0/0;0/22,1/19,2/14;0/0;0/23,1/24,2/23;0/0;0/0,1/0,2/0;0/0;0/174,1/155,2/178;0/0;0/250,1/234,2/264
2819.98;0;513;0;3;0/2819.98;0/341.83,1/460.42,2/163.51;0/0;0/2819.98,1/2819.98,2/2819.98;0/0;0/20,1/17,2/10;0/0;0/22,1/22,2/21;0/0;0/0,1/0,2/0;0/0;0/175,1/158,2/180;0/0;0/251,1/239,2/269
2879.88;0;528;0;3;0/2879.88;0/349.16,1/461.5,2/164.27;0/0;0/2879.88,1/2879.88,2/2879.88;0/0;0/16,1/24,2/12;0/0;0/21,1/28,2/21;0/0;0/0,1/0,2/0;0/0;0/180,1/163,2/185;0/0;0/257,1/245,2/275
2939.98;0;538;0;3;0/2939.98;0/353.3,1/462.33,2/165.42;0/0;0/2939.98,1/2939.98,2/2939.98;0/0;0/20,1/22,2/13;0/0;0/22,1/28,2/21;0/0;0/0,1/0,2/0;0/0;0/185,1/164,2/189;0/0;0/262,1/251,2/281
2999.99;0;548;0;3;0/2999.99;0/383.44,1/463.39,2/166.46;0/0;0/2999.99,1/2999.99,2/2999.99;0/0;0/20,1/22,2/10;0/0;0/22,1/28,2/18;0/0;0/0,1/0,2/0;0/0;0/188,1/167,2/193;0/0;0/266,1/257,2/287
